GeneID	inverted	FS-FI	FS-FI.18	FS-FI.25	FS-FI.int	FS-MS	FS-MS.18	FS-MS.25	FS-MS.int	MS-FI	MS-FI.18	MS-FI.25	MS-FI.int	T18-25
NTPase	Std	0.752446268	0.14789155	0.348127712	0.040599677	0.348127712	0.09094696	0.416297506	0.031581635	0.81648626	0.799509185	0.89978083	0.911497772	0.009930506
Mat1	Std	0.344727743	0.031250975	0.487793076	0.013695828	0.487793076	0.386264303	0.204478822	0.067218706	0.24641163	0.188160723	0.561381964	0.516726119	0.075706266
Irp-1B	Std	0.38266505	0.292234789	0.708170733	0.551620965	0.708170733	0.78914218	0.024981257	0.081776426	0.01745099	0.188399127	0.009672489	0.244186867	0.087929476
Irp-1A	In3RP	0.39568346	0.893778865	0.206205225	0.330090702	0.206205225	0.292205356	0.474675773	0.7520027	0.057199382	0.235682662	0.051553331	0.512884715	8.33E-07
GluClalpha	In3RP	0.216950236	0.612891606	0.141681861	0.354789762	0.141681861	0.097336899	0.830036456	0.114333176	0.04172566	0.032164972	0.215784585	0.480615683	2.54E-07
CG2701	Std	0.993190826	0.633538467	0.622110612	0.400117048	0.622110612	0.203385319	0.826981133	0.194673751	0.510350942	0.420476133	0.785133081	0.64330502	0.313943108
CG2712	Std	0.107909397	0.047164288	0.541712274	0.205404069	0.541712274	0.313384091	0.575352898	0.17246854	0.190619082	0.318370945	0.249914025	0.898932438	0.110635602
Syx4	Std	0.069023737	0.008397548	0.730235814	0.047794227	0.730235814	0.152136746	0.834179356	0.161895578	0.272051492	0.206276556	0.586085703	0.542476687	0.002920401
CG4293	Std	0.179107164	0.544702192	0.108312123	0.392110233	0.108312123	0.045192189	0.609468461	0.179428689	0.82664217	0.152544417	0.272853373	0.030235961	0.00679097
CG3457	Std	0.707545578	0.541631095	0.20386663	0.108153267	0.20386663	0.177973523	0.820853624	0.16265214	0.27591242	0.451937746	0.299884603	0.8140485	0.023985563
CG11448	Std	0.473285538	0.942620777	0.268935713	0.371414741	0.268935713	0.848331667	0.637149353	0.565843601	0.584977731	0.792101812	0.527289362	0.750999912	0.044246041
CG3719	Std	0.008881754	0.000183419	0.63543179	0.003840884	0.63543179	0.007100077	0.456254383	0.003470021	0.142384153	0.22755535	0.229111537	0.989185644	4.20E-05
ssx	Std	0.195079329	0.030284704	0.931480917	0.048778829	0.931480917	0.734397509	0.81276145	0.925922613	0.344539661	0.065282979	0.748191209	0.060514792	0.44345187
CG3777	Std	0.902145811	0.94848738	0.784615824	0.772087942	0.784615824	0.401819533	0.191222382	0.696264562	0.232629425	0.363138746	0.294634093	0.8982594	0.993311355
CG2694	Std	0.119770719	0.016800813	0.927021029	0.041277965	0.927021029	0.147804882	0.807982025	0.13865546	0.416674983	0.321057093	0.738490734	0.561863917	0.003300782
CG2658	Std	0.773832233	0.396269389	0.702395567	0.285703503	0.702395567	0.430931372	0.765117727	0.668529466	0.705263371	0.952808605	0.498287182	0.521845915	0.78997864
CG2662	Std	0.169424107	0.015477443	0.656174866	0.009687778	0.656174866	0.194187137	0.2156974	0.030672534	0.227677833	0.243258698	0.426841942	0.683090607	1.39E-09
Csat	Std	0.144715855	0.274930188	0.191239002	0.877468834	0.191239002	0.410745739	0.687656299	0.699299151	0.478286448	0.789824706	0.368024745	0.587734069	0.004065088
CG2680	Std	0.318324575	0.123179338	0.904208182	0.22885768	0.904208182	0.651142683	0.369596323	0.238690458	0.201346547	0.273204862	0.315882701	0.963645605	0.004032862
eIF2Bbeta	Std	0.239449627	0.206897028	0.509296805	0.586239289	0.509296805	0.349469467	0.206579495	0.783427082	0.865381157	0.743740008	0.543360394	0.417737828	0.062167061
CG2681	Std	0.013562247	0.001879345	0.392071646	0.035078745	0.392071646	0.012740667	0.626419252	0.009004654	0.23024326	0.497397013	0.189508837	0.624170542	0.035822525
CG2685	Std	0.535523808	0.05291918	0.324201654	0.01220599	0.324201654	0.318488302	0.600783214	0.185652193	0.758258992	0.33788974	0.645045192	0.218711561	0.066776872
Bem46	Std	0.414924741	0.1816867	0.990423304	0.239199631	0.990423304	0.237953537	0.677585744	0.166156177	0.735533117	0.880076515	0.689486949	0.825044885	0.099641193
az2	Std	0.132088232	0.015728515	0.892624202	0.020346535	0.892624202	0.28235414	0.802447816	0.233288924	0.342175149	0.165560307	0.908579928	0.24732287	1.03E-07
ari-2	Std	0.227977365	0.017931798	0.640638604	0.013908757	0.640638604	0.111642797	0.937408503	0.179789111	0.869195514	0.415386577	0.588780047	0.240980091	0.649419231
CG4585	Std	0.053078492	0.055604063	0.208028633	0.535624749	0.208028633	0.032686017	0.066244999	0.7511453	0.608930907	0.808212576	0.550493539	0.761327119	1.48E-06
CG4882	Std	0.440894797	0.909652592	0.247113071	0.369873162	0.247113071	0.47948135	0.977531236	0.548283622	0.223604317	0.411575563	0.238873995	0.765145947	2.95E-07
Thiolase	Std	0.17875934	0.053886466	0.795890177	0.14292154	0.795890177	0.022464311	0.51535185	0.146541052	0.637843242	0.705779276	0.694235476	0.988946376	0.006211472
SuUR	Std	0.000493494	9.00E-05	0.072590715	0.039118058	0.072590715	0.049138364	0.529029873	0.230732159	0.041284945	0.029467535	0.238812428	0.374396451	0.409860743
Ip259	Std	0.044658817	0.103774205	0.092810847	0.964880276	0.092810847	0.83836492	0.368180538	0.338137448	0.108866532	0.068410894	0.423813597	0.35976331	3.21E-09
Fpps	Std	0.935552428	0.540889902	0.458469798	0.241348437	0.458469798	0.221644907	0.989737034	0.281972049	0.411517059	0.534851707	0.468901954	0.922541211	0.009709596
rush	Std	0.566486439	0.819264233	0.245320902	0.227573392	0.245320902	0.331078838	0.29979458	0.954062365	0.5102757	0.230743529	0.901070536	0.250752905	0.061875592
Rab27	Std	0.053052747	0.665143469	0.021867146	0.035995557	0.021867146	0.430890771	0.946798009	0.547616789	0.027713502	0.224178553	0.027858038	0.115592405	2.01E-16
CG12179	Std	0.953611331	0.295532579	0.338344067	0.08442247	0.338344067	0.78560348	0.159046354	0.326488349	0.28089188	0.190218632	0.644970373	0.463776275	0.791101921
Mur2B	Std	0.583915576	0.715139892	0.595242226	0.882971667	0.595242226	0.383087075	0.846622706	0.555041728	0.23292194	0.218280477	0.468814273	0.65651886	0.258881547
inc	Std	0.563836845	0.20476635	0.722861953	0.156441217	0.722861953	0.164533727	0.984835624	0.224146233	0.75913752	0.893979353	0.711725747	0.838533563	0.027537502
Cyp6g1	Std	0.674954439	0.921757713	0.42881407	0.442641946	0.42881407	0.686865132	0.332611615	0.629022606	0.67624935	0.616536527	0.857385221	0.775635966	0.000229278
CycT	Std	0.011397043	0.005278208	0.172760269	0.189035313	0.172760269	0.078144313	0.349674276	0.46241522	0.345774599	0.268574498	0.662550618	0.557105008	0.515047429
CREG	In3RP	0.054232041	0.034781389	0.289911091	0.360793578	0.289911091	0.198508897	0.448809872	0.658366341	0.48304535	0.393015359	0.763415964	0.638801459	0.001224696
Bub3	Std	0.376058334	0.156863061	0.991969601	0.215663977	0.991969601	0.262100433	0.954007901	0.299838054	0.822541769	0.765640926	0.946146395	0.839519148	0.000110304
Bap60	Std	0.242589127	0.041520079	0.875381889	0.055831214	0.875381889	0.166071938	0.886495501	0.183715403	0.683175014	0.495874256	0.988815113	0.545310378	0.012818127
slv	Std	0.484441577	0.977991146	0.270378331	0.344165098	0.270378331	0.585887525	0.504163616	0.904136533	0.963012865	0.603248719	0.667351996	0.410645446	0.00017491
fidipidine	Std	0.161906521	0.202980225	0.308073451	0.800185083	0.308073451	0.915116032	0.759547652	0.722150408	0.201817874	0.169410462	0.478165743	0.543066731	0.00018592
bab2	Std	0.078187526	0.015281251	0.600796091	0.116328594	0.600796091	0.051232365	0.491689501	0.02602821	0.296847645	0.618926333	0.23550498	0.51218193	1.06E-07
unc-119	Std	0.084728438	0.145282315	0.168526925	0.896728112	0.168526925	0.404101796	0.722889477	0.656804073	0.316852122	0.530449694	0.307880462	0.749749931	3.33E-06
CG4101	Std	0.971975601	0.612209108	0.559121031	0.344788062	0.559121031	0.080760692	0.143225552	0.006538176	0.911599345	0.025783857	0.046953755	0.000438268	0.122252247
SF1	In3RP	0.507701041	0.691706148	0.142163619	0.106421239	0.142163619	0.448214163	0.688850482	0.754704635	0.173881126	0.715787543	0.064397097	0.190550184	0.692350897
Pli	In3RP	0.155962315	0.909793196	0.017147565	0.028970992	0.017147565	0.901999427	0.137296036	0.161622618	0.558425579	0.991828965	0.34884129	0.415588651	0.011729414
eIF3e	Std	0.686195184	0.486367532	0.972945711	0.526375795	0.972945711	0.777129059	0.999453824	0.806504982	0.816829879	0.678492525	0.972358619	0.696564805	1.04E-08
IM2	Std	0.132038132	0.057000889	0.556427989	0.266778602	0.556427989	0.407764558	0.241114648	0.706986345	0.788345946	0.268192255	0.551885835	0.147527483	6.01E-06
Gk1	Std	0.018079979	0.05346964	0.048544568	0.966156314	0.048544568	0.794933206	0.429042889	0.643049366	0.003286063	0.029678765	0.00699137	0.614563703	0.211444198
AkhR	Std	0.784060769	0.805400435	0.840268914	0.964481402	0.840268914	0.286797898	0.834566655	0.448741293	0.293017574	0.190841345	0.684140814	0.425209128	0.351979544
Faf2	Std	0.360041955	0.339810608	0.586218527	0.718607392	0.586218527	0.998722984	0.659716058	0.702861151	0.237970568	0.339271984	0.327042151	0.982692369	0.184232032
Torsin	Std	0.589479057	0.247385926	0.76863272	0.20550679	0.76863272	0.318851012	0.591845566	0.183247452	0.806322617	0.873113359	0.808684311	0.944661518	8.98E-10
CG13360	Std	0.242331077	0.068014846	0.922174487	0.137131531	0.922174487	0.411716579	0.495282625	0.194292588	0.272999917	0.305156256	0.438651484	0.838614301	0.001642608
CG16989	Std	0.056903284	0.080737906	0.166276898	0.730724024	0.166276898	0.056636113	0.620235337	0.208290373	0.659284326	0.862702531	0.371687128	0.354604091	0.100083079
CG4025	Std	0.749987617	0.178094542	0.414515625	0.063203949	0.414515625	0.823316916	0.564540425	0.750099558	0.421979041	0.118738499	0.813626713	0.122601707	0.000607116
Sik2	Std	0.07631673	0.010255259	0.730297299	0.055661667	0.730297299	0.074748283	0.266100918	0.013804609	0.169048445	0.408124557	0.15490548	0.586444716	0.007103121
CG4281	Std	0.459943261	0.076312137	0.549931254	0.040511042	0.549931254	0.13146542	0.518630193	0.062730483	0.844450887	0.785431009	0.961445304	0.845067547	5.95E-06
CG4199	Std	0.612380019	0.847412545	0.524649473	0.698463253	0.524649473	0.142880106	0.915097021	0.23589878	0.644496757	0.201148806	0.596543216	0.118272814	1.66E-05
CG4045	Std	0.096235245	0.123329571	0.234680931	0.732033542	0.234680931	0.367497276	0.354944558	0.998998503	0.577262611	0.518572626	0.7917711	0.735177464	0.291258049
Rtca	Std	0.010070594	0.051706368	0.020160993	0.829230122	0.020160993	0.138670007	0.021958646	0.535364463	0.75404217	0.637807783	0.976903261	0.691514631	4.35E-08
moody	Std	0.238162182	0.052376533	0.981273969	0.103886061	0.981273969	0.529532914	0.144517441	0.427284589	0.016407413	0.011727599	0.14474644	0.381591402	1.36E-05
CG4313	Std	0.991577593	0.488630177	0.450848155	0.211687954	0.450848155	0.485480445	0.376655899	0.891546652	0.332646754	0.991096316	0.110462658	0.176109657	0.075041313
CG13366	Std	0.116786829	0.007443009	0.867698819	0.013363075	0.867698819	0.197431069	0.516472767	0.094847354	0.234712571	0.144218562	0.62877929	0.391286023	0.000204788
CG13367	Std	0.392218617	0.350135954	0.650716806	0.64829241	0.650716806	0.396850643	0.7771773	0.320101994	0.625919482	0.934077109	0.467254156	0.584316429	6.94E-07
CG17829	Std	0.045021737	0.002198224	0.950869429	0.00685513	0.950869429	0.241840952	0.554964015	0.124715471	0.10416459	0.046921966	0.51712519	0.222056526	2.07E-07
SkpA	Std	0.625935088	0.758223909	0.624265422	0.872862477	0.624265422	0.479964095	0.445926087	0.958802409	0.169015118	0.31213755	0.212650728	0.83224725	6.90E-07
Roc1a	Std	0.884108689	0.923390962	0.73849923	0.708183075	0.73849923	0.319133134	0.548050716	0.730393221	0.406841215	0.274550891	0.789641082	0.473614343	0.000696873
Hmt4-20	Std	0.033381073	0.002198434	0.725634222	0.015714914	0.725634222	0.35829696	0.742951144	0.279665169	0.074041645	0.025585266	0.497529878	0.164870498	0.359433268
CG13369	Std	0.074810757	0.017492125	0.654481727	0.072730985	0.654481727	0.511532246	0.963048346	0.530562218	0.161155028	0.07962123	0.624101563	0.237205113	7.26E-13
DAAM	Std	0.500075189	0.755175673	0.161353281	0.136949819	0.161353281	0.910841744	0.14822202	0.242997442	0.774172209	0.671988765	0.961548403	0.745873992	0.127132591
CG3588	Std	0.025991939	0.027365423	0.149687103	0.438064205	0.149687103	0.160189978	0.132021548	0.96040011	0.636616177	0.407260134	0.940778089	0.425224502	0.091249424
CycK	Std	0.077525959	0.015878464	0.66081817	0.07755217	0.66081817	0.075958946	0.945000416	0.133038652	0.523539948	0.499924097	0.712262853	0.787430879	3.87E-06
CkIIalpha-i3	Std	0.581012512	0.437953916	0.956829416	0.486909154	0.956829416	0.49627973	0.220026062	0.712797972	0.552337262	0.92739473	0.245350495	0.313629088	0.007150486
CaBP1	Std	0.784109357	0.949121105	0.609183071	0.616737276	0.609183071	0.802125986	0.782277977	0.981830108	0.961633799	0.753252681	0.813896676	0.632774011	9.34E-10
cry	In3RP	0.030341155	0.037086668	0.138047733	0.589225023	0.138047733	0.904022631	0.17560583	0.199698223	0.004379355	0.048886015	0.006069111	0.465500754	0.677751433
CG3558	Std	0.104472074	0.014040538	0.871693923	0.043468396	0.871693923	0.315126079	0.928190565	0.425027861	0.334022857	0.132806042	0.943302662	0.212038253	0.038508862
scf	Std	0.056194449	0.044935229	0.265264862	0.396032639	0.265264862	0.294984495	0.49052339	0.734471833	0.386193857	0.325404402	0.670152735	0.611555539	7.49E-06
CG3164	Std	0.02113472	0.00595215	0.313590063	0.111035409	0.313590063	0.265223146	0.545488491	0.137087506	0.044249663	0.086729392	0.109445293	0.914491595	0.000345293
MFS18	Std	0.712233158	0.211271515	0.48758912	0.091751713	0.48758912	0.35706876	0.110272215	0.031713618	0.449524909	0.742631684	0.361365586	0.614584351	0.001963664
Amnionless	Std	0.023481008	0.003546491	0.525166038	0.028600776	0.525166038	0.005670972	0.653410072	0.004013105	0.447984339	0.771076441	0.295386155	0.609890569	0.110728556
LKRSDH	Std	0.067639243	0.000711587	0.557271293	0.000577666	0.557271293	0.055313048	0.358775253	0.404566479	0.914961228	0.107360815	0.14096477	0.008768111	0.412579492
Lfg	Std	0.059209774	0.004794263	0.948182977	0.011199417	0.948182977	0.141165683	0.180740309	0.016492421	0.086486296	0.150248951	0.167699474	0.81207984	0.000149115
ZnT41F	Std	0.001862735	0.025803654	0.003612383	0.419069035	0.003612383	0.302808913	0.432229177	0.85042703	0.035427278	0.21644	0.028839495	0.332488818	0.000407485
santa-maria	Std	0.677379865	0.12818766	0.446347326	0.052907434	0.446347326	0.574080622	0.191293181	0.101403781	0.359586189	0.333550002	0.584006372	0.745639269	2.09E-07
CG5885	Std	0.81155636	0.429331255	0.240079612	0.090231965	0.240079612	0.768504804	0.786414262	0.62318146	0.800530703	0.61889009	0.363777113	0.223451937	1.23E-08
Srpk79D	Std	0.31524769	0.036607788	0.64911993	0.028892025	0.64911993	0.552158299	0.538809456	0.294650565	0.306495701	0.12877994	0.873296162	0.240010039	0.001087304
CNT2	Std	0.067430033	0.067237301	0.254870932	0.447921457	0.254870932	0.11334646	0.086554244	0.996070747	0.851609907	0.803437814	0.55249532	0.473664607	0.0250774
CG13920	Std	0.36194087	0.065668571	0.786366797	0.077377294	0.786366797	0.428783793	0.754009459	0.350725614	0.515685477	0.287877156	0.966271669	0.397376275	3.34E-06
Bap55	Std	0.734709514	0.440746252	0.820573463	0.383948844	0.820573463	0.795679764	0.988242907	0.82941578	0.612660959	0.304847258	0.832931898	0.280279791	0.001894085
Ate1	Std	0.385139859	0.936886068	0.134709291	0.171767089	0.134709291	0.218431023	0.511212665	0.102704555	0.222045001	0.247944539	0.396973936	0.784510524	0.042000478
beta'COP	Std	0.774891855	0.552465899	0.900019945	0.531939225	0.900019945	0.92218446	0.762144571	0.727464453	0.680561745	0.619277215	0.859272019	0.781369326	1.85E-09
alphaCOP	Std	0.716652706	0.584388863	0.962275015	0.664137965	0.962275015	0.550842837	0.939670791	0.559244405	0.496425619	0.255158491	0.977328702	0.310225374	8.45E-05
unc-13	Std	0.509628338	0.306368888	0.956301657	0.399598305	0.956301657	0.807185407	0.695313547	0.580407063	0.569233785	0.206796313	0.735825361	0.16567104	0.013682648
pon	Std	0.126188954	0.279835567	0.139591196	0.9032612	0.139591196	0.945993293	0.101285952	0.212445375	0.568771979	0.313940323	0.87382642	0.289599095	0.000387169
PlexB	Std	0.241468903	0.057242839	0.995881853	0.095962868	0.995881853	0.922006351	0.954066299	0.892434752	0.250938455	0.070475484	0.958141949	0.124609243	0.67684203
PlexA	Std	0.021759921	0.003601128	0.416573504	0.057076616	0.416573504	0.301686825	0.483583044	0.771051008	0.199018742	0.049561144	0.909852191	0.104081987	0.031683633
mtm	Std	0.867298208	0.66135139	0.867384818	0.5983745	0.867384818	0.74296706	0.841413275	0.645883145	0.93064513	0.913036862	0.973528461	0.947211347	0.389166
mbt	Std	0.042389813	0.005351293	0.630597563	0.038296437	0.630597563	0.479629909	0.596103108	0.28318978	0.055325997	0.032793866	0.315667807	0.306818672	0.029135721
homer	Std	0.060903916	0.016796824	0.514781626	0.117454555	0.514781626	0.330021243	0.912575491	0.343631264	0.174516463	0.143169544	0.447912532	0.529370558	5.60E-05
Cdc16	In3RP	0.46240116	0.075710304	0.532231333	0.037567181	0.532231333	0.151704935	0.866348403	0.158983679	0.950596244	0.725713135	0.649988957	0.484805478	0.043076734
TBPH	Std	0.064039982	0.109668158	0.147421308	0.905045472	0.147421308	0.131311217	0.695858537	0.328293498	0.480514335	0.930593278	0.290630193	0.393467964	4.33E-06
Smox	Std	0.45623955	0.436872635	0.660057701	0.761507158	0.660057701	0.888842548	0.201704194	0.327519198	0.90556769	0.523912899	0.400917503	0.201583899	0.000172712
Sbf	Std	0.297080577	0.063748189	0.864338282	0.078054242	0.864338282	0.718000751	0.798532661	0.591953099	0.330105203	0.132377872	0.932757889	0.216357689	0.35095719
Rad9	Std	0.37508969	0.043491606	0.48020059	0.01733509	0.48020059	0.355157938	0.269776644	0.082524401	0.349705455	0.26458775	0.688022473	0.516376096	0.000118288
Rad17	Std	0.150268274	0.060526195	0.68305421	0.169985851	0.68305421	0.641042699	0.378589683	0.250601815	0.100617728	0.15449184	0.203674173	0.841780602	8.74E-06
Paf-AHalpha	Std	0.026961237	0.011956097	0.279331497	0.175032233	0.279331497	0.151433421	0.901337162	0.240948053	0.204044472	0.258218314	0.341314884	0.860252898	0.000168079
Mgstl	Std	0.84245623	0.949688702	0.698121134	0.694755327	0.698121134	0.034975682	0.0246919	0.896550057	0.014235883	0.030162033	0.059900193	0.792769748	0.091685134
Mcm6	Std	0.083312402	0.006732352	0.947039954	0.020164867	0.947039954	0.087745678	0.946789631	0.122180097	0.459697532	0.282611923	0.89400618	0.411820049	0.000109271
JTBR	Std	0.650543361	0.474302603	0.994534888	0.527187461	0.994534888	0.839800862	0.223074629	0.391854228	0.195678476	0.359969717	0.225786121	0.812225254	0.007376461
HDAC3	Std	0.602834643	0.245394784	0.040775661	0.006646297	0.040775661	0.146070502	0.158032753	0.014563886	0.558060951	0.758729363	0.512943744	0.766947919	4.57E-05
CG6421	Std	0.092514222	0.001619835	0.886115227	0.00959863	0.886115227	0.050804322	0.251650544	0.011016296	0.167340639	0.194081857	0.320281406	0.907154727	3.42E-10
IntS8	Std	0.123130559	0.005681378	0.730656531	0.00666859	0.730656531	0.114667417	0.580004287	0.064308788	0.370088817	0.208220411	0.834238161	0.362064047	0.697187173
Fen1	Std	0.13926618	0.013890367	0.865774785	0.019006582	0.865774785	0.070128841	0.584577595	0.038739263	0.515385046	0.493425114	0.706648485	0.77905629	6.22E-05
CG8910	Std	0.333140088	0.185383405	0.775161451	0.3847677	0.775161451	0.076345062	0.845117837	0.08962935	0.998253429	0.628062281	0.638171245	0.407549647	0.067756523
RhoGAP1A	Std	0.501610329	0.247583812	0.949215383	0.28760136	0.949215383	0.847800177	0.857210587	0.746421677	0.496611642	0.178963129	0.807391835	0.167475911	2.51E-10
CG17636	Std	0.771467808	0.969040244	0.46580274	0.636629749	0.46580274	0.912225566	0.679411067	0.892526202	0.584797587	0.941570213	0.262735779	0.557349617	1.20E-06
ND-B14.5A	Std	0.880981606	0.262831571	0.180156125	0.034835526	0.180156125	0.128820556	0.178879513	0.014638713	0.802765643	0.679230158	0.995955085	0.715660401	0.075528758
Crag	Std	0.031408313	0.016611281	0.257877856	0.25113178	0.257877856	0.470086383	0.858893111	0.434092905	0.066049778	0.086115622	0.191483263	0.71045961	0.002035136
Cortactin	In3RP	0.008838472	0.119435612	0.005799082	0.274162477	0.005799082	0.687087439	0.559491086	0.879673861	0.039589503	0.2448895	0.026458416	0.346227777	4.98E-07
CalpB	Std	0.026975362	0.011298207	0.281556474	0.179165682	0.281556474	0.101843417	0.5775798	0.33279504	0.368561123	0.342399683	0.601799314	0.704957699	0.003235306
Meics	Std	0.477893889	0.092077889	0.520057125	0.041436618	0.520057125	0.48093247	0.205298243	0.094172539	0.320575313	0.321874671	0.529487445	0.726647859	2.65E-05
wrapper	Std	0.000744076	0.000700421	0.027797213	0.24671477	0.027797213	0.000657342	0.284927963	0.023962274	0.524454695	0.935903188	0.249199611	0.29598244	0.471762127
Timp	Std	0.179385854	0.006692158	0.595020349	0.005724553	0.595020349	0.129038529	0.972166304	0.188019296	0.647202672	0.207929021	0.623837184	0.13289565	3.96E-05
Inos	Std	0.036289388	0.003050057	0.686385158	0.022390785	0.686385158	0.186078327	0.241746204	0.032659932	0.04495856	0.082294341	0.117591785	0.876077174	0.116117431
Eph	Std	0.840385435	0.645472658	0.89598359	0.607519696	0.89598359	0.331862437	0.557947978	0.736630718	0.250832256	0.155372769	0.648314914	0.39633801	0.530536244
Top3beta	Std	0.359019438	0.108186934	0.90025941	0.130708197	0.90025941	0.181184462	0.861642687	0.306941448	0.989274998	0.782221928	0.76475012	0.616852277	0.000344439
Rlip	In3RP	0.704953817	0.578158699	0.950650287	0.666013688	0.950650287	0.701420222	0.153906442	0.36213094	0.14099841	0.349017718	0.139596773	0.627356765	0.427439973
Mhcl	Std	0.436443209	0.223126372	0.959460541	0.308921528	0.959460541	0.039299236	0.629200282	0.028015134	0.834111415	0.38161058	0.593818634	0.222769216	1.71E-10
Mipp2	Std	0.74172838	0.974511272	0.610763592	0.679416958	0.610763592	0.76495358	0.213464809	0.181055066	0.365548959	0.788748032	0.084667621	0.083201156	0.343431268
Mipp1	Std	0.182623198	0.04360417	0.883084221	0.10194455	0.883084221	0.321875448	0.398350521	0.113438277	0.212842897	0.290562611	0.323552965	0.952748696	0.082648519
KP78b	Std	0.247727996	0.158409232	0.511755679	0.777722773	0.511755679	0.51907903	0.37772518	0.186009175	0.169361933	0.428321431	0.16856299	0.419788037	0.014570941
UBL3	Std	0.12899419	0.033861367	0.732080537	0.116212992	0.732080537	3.98E-05	0.314080501	0.003888545	0.073574208	0.023687991	0.506114339	0.159496218	0.001162302
Gasp	Std	0.403347839	0.141537313	0.989907054	0.228476137	0.989907054	0.089439789	0.443057	0.50780709	0.518621212	0.796372638	0.443225645	0.618124355	8.37E-05
Nsun2	Std	0.084521207	0.344388844	0.058943087	0.408932485	0.058943087	0.814813669	0.809957264	0.998725436	0.149414212	0.476308056	0.09840736	0.411306504	0.000104347
Tip60	Std	0.627447535	0.182099247	0.569095479	0.098751849	0.569095479	0.578458577	0.599574557	0.348535306	0.650595713	0.43455656	0.965911006	0.47283532	0.248287581
tyf	Std	0.004171311	0.000379487	0.272533594	0.023413986	0.272533594	0.176704923	0.671730233	0.418556355	0.062121973	0.018234267	0.496881934	0.133832985	0.000389973
cib	Std	0.335003414	0.056493056	0.723971082	0.050371671	0.723971082	0.241090814	0.809082957	0.220253675	0.691295183	0.446903399	0.910997478	0.448328191	0.009944411
dgt4	Std	0.083698186	0.02192945	0.71978584	0.05974457	0.71978584	0.058550364	0.471045007	0.020986751	0.378640001	0.679566537	0.288829695	0.61578832	5.00E-10
Adar	Std	0.641592718	0.118767652	0.428306849	0.04371589	0.428306849	0.095590546	0.626171998	0.06391396	0.796778281	0.907720359	0.761305944	0.867425375	2.04E-12
CG14818	Std	0.712266789	0.188676931	0.482627727	0.082857306	0.482627727	0.110723125	0.78050255	0.105798605	0.660945365	0.765897244	0.674661185	0.913255683	0.020266751
CG14817	Std	0.784950692	0.905570277	0.740659333	0.857765098	0.740659333	0.06472306	0.858066493	0.076055661	0.439500005	0.081530525	0.614462067	0.052095842	0.267571278
CG14812	Std	0.762216368	0.278656568	0.118765973	0.023605951	0.118765973	0.226231671	0.361740716	0.06786818	0.629826983	0.890590765	0.513726907	0.655530571	0.342624951
CDC45L	Std	0.174330609	0.021130066	0.887374537	0.031855344	0.887374537	0.185994858	0.68312311	0.132141827	0.427744672	0.303892858	0.789685322	0.504221776	0.005715453
CBP	Std	0.130519391	0.022512274	0.87410217	0.061622313	0.87410217	0.285711135	0.983581186	0.342515006	0.378106922	0.208183253	0.857919553	0.345138281	0.000264155
CG16833	Std	0.459253433	0.060471032	0.487581746	0.02694731	0.487581746	0.099909056	0.692179019	0.077263038	0.973039019	0.80726867	0.764444911	0.63658614	0.163819211
CG12253	Std	0.254635011	0.114890539	0.827372818	0.208448573	0.827372818	0.479888083	0.810475673	0.400713844	0.411825715	0.379859178	0.650812727	0.683256358	4.33E-05
BCL7-like	Std	0.417086309	0.056660422	0.473458753	0.021956109	0.473458753	0.1432116	0.84940684	0.136331722	0.975264678	0.651771338	0.602848563	0.399952279	0.000717511
ApepP	Std	0.528756863	0.271762132	0.941605929	0.30744475	0.941605929	0.505172902	0.151065713	0.06991058	0.270389965	0.662209865	0.172304136	0.41504171	3.92E-05
tna	Std	0.326960873	0.04280365	0.675936712	0.036254663	0.675936712	0.118059286	0.841090242	0.130396143	0.87625184	0.63235696	0.829679124	0.548720083	4.11E-05
SkpB	Std	0.731199263	0.300013552	0.290519891	0.090030452	0.290519891	0.103288703	0.238403305	0.02912525	0.839582987	0.530993834	0.901532859	0.597345376	3.29E-19
siz	Std	0.528331767	0.213453138	0.827163421	0.204258192	0.827163421	0.837609506	0.621839217	0.54380486	0.42064452	0.297224022	0.783183611	0.503457153	0.001895175
Rok	Std	0.028997302	0.016297239	0.23840818	0.266388319	0.23840818	0.7698861	0.593138861	0.832732133	0.008122327	0.007636565	0.089562065	0.366330272	0.061038009
prominin-like	Std	0.684504752	0.242007116	0.610225864	0.146330037	0.610225864	0.983066002	0.631341197	0.689528818	0.477061974	0.23392217	0.976430185	0.288984669	0.000217467
PH4alphaMP	Std	0.323793672	0.232374226	0.611756348	0.674019987	0.611756348	0.86651956	0.616669636	0.713271084	0.598176772	0.307188202	0.994814967	0.453554935	6.35E-06
par-6	Std	0.005875609	0.001412758	0.192446507	0.076905272	0.192446507	0.156119806	0.738739349	0.336269707	0.081341993	0.058925598	0.332271738	0.411909898	0.534239357
nop5	Std	0.391775889	0.272478412	0.761344477	0.488543974	0.761344477	0.442101949	0.383719381	0.927040572	0.88429902	0.738810684	0.568554918	0.432606833	0.250952041
myo	Std	0.172794362	0.057546458	0.748271127	0.165768481	0.748271127	0.049359276	0.459418799	0.277153461	0.763145866	0.942553232	0.67435271	0.761140628	5.90E-06
mei-P26	Std	0.022937539	0.006361195	0.32645033	0.112085168	0.32645033	0.835654619	0.521354285	0.460647593	0.042679621	0.003577326	0.731279871	0.02218467	0.179827715
